序號,社福團體名稱,愛心碼,社福團體簡稱,社福團體統編,縣市
637,財團法人現代婦女教育基金會,5238,現代婦女,76904597,臺北市
638,財團法人台中市私立康善社會福利慈善事業基金會,3335,康善基金會,08792785,臺中市
639,社團法人台灣動物保護協進會,99520,TAPA,09287032,臺中市
640,財團法人基督教惠明盲人福利會附設台中縣私立惠明盲童育,222222,惠明育幼院,55922872,臺中市
641,天主教若瑟醫療財團法人,8864,若瑟醫院,74858719,雲林縣
642,社團法人台灣防止虐待動物協會,1772,TSPCA,26828032,臺北市
643,社團法人台灣青年氣候聯盟,7676,,31895003,臺北市
644,財團法人台東基督教醫院,8080,東基,93506428,臺東縣
645,財團法人黑潮海洋文教基金會,59427,黑潮,73761619,花蓮縣
646,台灣青少年性別文教會,1011,好性會,57991635,高雄市
647,中華靈寶派道士會,6647,靈寶道士會,25827529,臺南市
648,社團法人臺北縣彌賽亞全人關懷協會,377,新店神召會,10674519,新北市
649,財團法人義美環境保護基金會,55211,義美環保,92001511,臺北市
650,社團法人台灣猛禽研究會,261,猛禽會,13545173,臺北市
651,社團法人台灣萬人社福協會,6580,萬人社福,25835675,臺南市
652,社團法人高雄市晨暉關懷協會,1625557,高雄晨暉,47621971,高雄市
653,財團法人私立天主教華光智能發展中心,0818,,02746130,新竹縣
654,財團法人天主教會台中教區附設台灣省私立慈愛殘障教養院,2885,慈愛教養院,59313160,彰化縣
655,財團法人臺灣省天主教會新竹教區,3675235,,87787651,桃園市
656,社團法人臺北市接觸點社區關懷協會,5837,接觸點,31898894,臺北市
657,關懷魚鱗癬協會,3963021,魚鱗癬協會,19896359,高雄市
658,中華溝通分析協會,8935,TA,83868935,屏東縣
659,社團法人台灣佳美生命建造協會,379,佳美協會,26132625,新竹縣
660,社團法人臺南市慈光心智關懷協會,2057,慈光心智,10160552,臺南市
661,社團法人舊鞋救命國際基督關懷協會,3030,舊鞋救命,42201373,桃園市
662,財團法人肝病防治學術基金會,583,肝基會,01033084,臺北市
663,社團法人台北市行無礙資源推廣協會,456,行無礙,29224958,臺北市
664,社團法人中華基督奇蹟全人關懷協會,725,奇蹟,99964603,臺北市
665,台灣國際醫療行動協會,1771,iACT,14536264,新竹縣
666,財團法人大地之子教育基金會,168997,大地之子,21555624,新北市
667,財團法人礦工兒子教育基金會,6620,礦工兒子,94985306,臺北市
668,社團法人彰化縣生命線協會,6891,彰化生命線,05957100,彰化縣
669,財團法人台灣省台北縣遠東福音會,316,遠東福音會,66928178,新北市
670,財團法人桃園縣善水堂慈善文教基金會,149,善水堂,37980245,桃園市
671,社團法人臺北市臻佶祥社會服務協會,1030312,,38547331,臺北市
672,社團法人高雄市唇顎裂顱顏協會,4408520,,08246718,高雄市
673,財團法人台北市光智社會事業基金會,88740,光智基金會,14102703,臺北市
674,社團法人苗栗縣視覺障礙者福利協進會,279631,視障協會,45339127,苗栗縣
675,社團法人新北市國際生命線協會,021995,新北生命線,01974000,新北市
676,中華民國救世慈善協會,9473,救世慈善,87814377,花蓮縣
677,財團法人中華民國消費者文教基金會,7001234,消基會,04139414,臺北市
678,財團法人中華民國兒童癌症基金會,88888,兒癌基金會,04140854,臺北市
679,社團法人中華民國得勝者教育協會,520080,得勝者,87875795,臺北市
680,社團法人中華民國動物福利環保協進會,529529,動福會,83853383,臺北市
681,財團法人天主教曉明社會福利基金會,1773,曉明基金會,17732319,臺中市
682,財團法人臺中市私立衡山社會福利基金會,2320,衡山基金會,10912603,臺中市
683,財團法人台灣兒童暨家庭扶助基金會澎湖分事務所,5875,澎湖家扶,96679990,澎湖縣
684,社團法人臺北縣志願服務協會,1205,新北志協,87792958,新北市
685,私立希恩之家,3560463,希恩之家,36970389,高雄市
686,社團法人台灣兒童少年希望協會,8017,台灣兒少,34896478,新北市
687,社團法人中華民國白化症者關懷協會,0520,,48752818,桃園市
688,社團法人雲林縣復健青年協進會,740612,復健協會,06180423,雲林縣
689,新北市政府社會局委託天主教耕莘醫療財團法人永和耕莘醫院辦理新北市愛維養護中心,9456,愛維,19320968,新北市
690,財團法人萬海航運社會福利慈善事業基金會,92178,萬海慈善,99029802,臺北市
691,社團法人台灣走出埃及輔導協會,1314527,,99031949,臺北市
692,財團法人人間文教基金會,5617,人間基金會,97945617,嘉義縣
693,社團法人中華民國視障者家長協會,5959,中視家協,26385959,臺北市
694,台灣健康合作發展組織,168777,HCOOP,39736731,臺中市
695,社團法人台灣泡泡龍病友協會,92880,揪愛泡泡龍,25806622,新北市
696,財團法人台灣兒童暨家庭扶助基金會新北市分事務所,378585,新北市家扶,67774263,新北市
697,社團法人高雄市大崗山康復之友協會,58938,大崗山康復,99174066,高雄市
698,社團法人中華民國肯愛社會服務協會,6666,肯愛協會,99947372,臺北市
699,財團法人臺南市私立豐德教養院,52168,,14696894,臺南市
700,臺中市愛無礙協會,088999,,99941166,臺中市
701,社團法人中華民國荒野保護協會,8999,荒野保護,92024922,臺北市
702,財團法人台灣省花蓮縣中華基督長老會山宣總會附設花蓮縣私立原住民少年兒童之家,8612423,原住民之家,30116345,花蓮縣
703,財團法人臺灣省私立光明仁愛之家,66666,光明仁愛,61837179,南投縣
704,社團法人台北市雙胞胎協會,0422,,92021158,臺北市
705,社團法人花蓮縣大比大家庭關懷協會,4997276,,49972760,花蓮縣
706,財團法人張老師基金會,1980198,張老師,01018680,臺北市
707,社團法人台中市開懷協會,5990,開懷協會,74871298,臺中市
708,社團法人高雄市注意力缺陷過動症協會,88002,過動症協會,19905370,高雄市
709,財團法人台中市私立惠康社會福利基金會,2950,惠康基金會,52823147,臺中市
710,財團法人台南市私立長泰教養院,6699,長泰教養院,78475489,臺南市
