序號,社福團體名稱,愛心碼,社福團體簡稱,社福團體統編,縣市
914,財團法人平安社會福利慈善事業基金會,845,平安八社福,92012708,臺北市
915,社團法人中華民國血友病協會,5293,,81597351,臺北市
916,財團法人桃園縣真善美社會福利基金會,268,真善美,30366265,桃園市
917,財團法人台灣省私立心德慈化教養院,175758,心德教養院,06562718,臺南市
918,財團法人台灣省私立向上社會福利基金會,002,向上基金會,52506590,臺中市
919,財團法人天主教善牧社會福利基金會,8835,,01033182,臺北市
920,社團法人中華青少年純潔運動協會,3399,純潔協會,17137894,新北市
921,財團法人新北市私立台灣天主教安老院,107765,安老院,34034991,新北市
922,社團法人台灣八福無障礙生活發展協會,858585,八福協會,31826055,臺北市
923,社團法人臺東縣天主教愛德婦女協會,666666,台東愛德,21681404,臺東縣
924,社團法人教育及兒童青少年發展協會,3339,兒少協會,21629098,臺南市
925,社團法人屏東縣社會福利聯盟,7883344,社福聯盟,25888052,屏東縣
926,中華民國金光明宗佛學會,513899,金光明宗,30394902,新北市
927,福智學校財團法人,1025,福智,39892578,雲林縣
928,社團法人台灣媽祖魚保育聯盟,0051,保育白海豚,38621710,臺北市
929,社團法人臺灣非視覺美學教育協會,5214,,38979695,雲林縣
930,社團法人南投縣中寮鄉龍眼林福利協會,20005,龍眼林,13538969,南投縣
931,社團法人台灣為台灣而教協會,747,為台灣而教,38806174,臺中市
932,台灣鬆獅救援協會,9520,鬆獅協會,42298995,臺北市
933,社團法人高雄市弱勢家庭之友慈善協會,8943,弱勢之友,41278943,高雄市
934,財團法人崔媽媽基金會,17864,,18035255,臺北市
